artistName,trackName,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,genres
MERO,Konum Gizli (feat. Murda),928,1160,0,7510,397162,2150,14549,0,308088,4109,2050,1151,None
MERO,Sor Bize,0,0,0,0,0,464,0,8690,8789,7730,5702,85824,None
MESSIAH!,Panel 51,0,0,0,0,725,0,0,0,0,0,0,0,None
MFO,Hep Yasin 19,0,952,0,0,0,0,0,0,0,0,0,0,None
MFO,Sakin Gelme,0,0,0,172928,1230,170730,0,169600,1130,0,162300,87712,anadolu rock
MGMT,Electric Feel,0,46877,0,0,0,110848,234290,0,0,0,1920,0,alternative rock
MIIA,Sledgehammer,0,0,0,0,0,66820,0,0,0,0,0,0,None
MIKA,"Relax, Take It Easy",0,0,0,0,0,0,244993,0,0,0,0,0,electropop
MIKE,Hunger,0,0,0,0,0,0,0,0,0,0,0,69956,None
MIRSY,You Can Stay,0,0,106666,0,0,0,0,0,0,0,0,114365,None
MISSIO,I'm Sad and I Can't Speak,0,0,0,0,0,0,0,0,0,0,0,135333,None
MISSIO,Read Your Mind,0,0,0,0,0,0,0,0,0,0,0,117220,None
MITYA,Island,0,0,3720,0,208907,0,0,0,0,0,0,0,russian indie rock
MK,Rhyme Dust,0,0,0,0,0,0,36910,0,0,0,430008,47410,None
MKAY,Frozen Gold,0,0,13120,0,0,0,0,0,0,0,3754,0,chill drill
MOGY,feel that way,0,0,0,0,0,0,0,0,140259,0,0,0,None
MONSTA X,Shoot Out - English Version,0,0,0,0,0,0,0,0,938,0,0,0,None
MORGENSHTERN,Cristal & MOIoT (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix,0,0,0,0,5944,0,0,0,0,0,0,0,None
MORGENSHTERN,ICE,0,0,2879,0,0,1600,0,0,960,0,92654,0,russian hip hop
MOTHICA,SENSITIVE,0,0,0,0,0,0,0,0,0,0,0,57150,None
MOTHICA,SLEEPWALK,0,0,0,0,0,0,0,0,0,0,0,38979,None
MOTHICA,VICES,0,0,0,0,0,0,0,0,0,0,187840,0,None
MOTHICA,buzzkill,0,0,0,0,0,0,0,0,0,0,0,4650,None
MUTI,Dal Dal Ushiol,0,0,0,0,3274,0,0,0,0,0,0,0,None
Mabel Matiz,Ask Yok Olmaktir,0,0,0,0,0,0,0,0,0,33343,0,0,None
Mabel Matiz,Iki Satir Yara,0,0,0,0,0,0,0,0,0,2730,0,0,None
Mac DeMarco,Blue Boy,0,0,0,0,1151,6997,0,126223,0,0,0,10837,edmonton indie
Mac Miller,100 Grandkids,0,280308,0,0,278506,0,0,0,279508,0,0,278506,hip hop
Mac Miller,Come Back to Earth,0,0,0,0,0,161840,0,0,0,0,0,0,None
Mac Miller,Love Lost,0,1577,0,0,0,0,162875,0,0,0,0,0,None
Mac Miller,Self Care,0,27486,0,0,0,0,0,0,0,0,0,0,None
Mac Miller,Small Worlds,0,4502,0,0,0,0,0,0,0,0,0,0,None
Mac Miller,Stay,0,0,0,0,0,2739,0,0,0,0,326426,0,hip hop
Mac Miller,The Spins,0,198671,0,195873,0,0,195873,0,0,0,0,0,None
Madcon,Beggin (original version),0,217532,142890,0,216146,0,58684,0,0,0,113856,0,norwegian hip hop
Maddix,Activating,0,0,0,0,0,0,0,0,0,0,0,114420,None
Maddix,Heute Nacht,0,0,0,0,0,0,0,0,0,0,0,204444,None
Maddox,Color Blind,0,0,0,0,831,0,0,0,0,0,0,0,None
Madison Beer,17,0,0,0,0,0,0,0,0,0,0,0,216960,None
Madison Beer,At Your Worst,0,0,0,0,0,0,0,0,0,0,0,32410,None
